Company,Name/Title,Type,Applied Date,Confirmation of Receipt?,Heard Back?,Applied,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Notes
The Nature Conservancy,Conservation Technology Associate,Job,1/10/2022,Yes,Yes,Applied,Rejected,,,,,,,
NCEAS,Ocean Health Index Data Analyst Intern,Fellowship,1/14/2022,Yes,Yes,Applied,Rejected,,,,,,,
NOAA,Explorer in Training,Fellowship,2/5/2022,Yes,No,Applied,Ghosted,,,,,,,
NASA,DEVELOP,Fellowship,2/25/2022,Yes,Yes,Applied,Interview,Offered position,Turned down,,,,,
Audubon Society & ESRI,Dangermond Fellow,Fellowship,3/28/2022,Yes,Yes,Applied,Rejected,,,,,,,
USDA Forest Service,Geographic Information Systems Specialist,Job,4/8/2022,Yes,Yes,Applied,Rejected,,,,,,,
NOAA Southwest Acoustics Ecology Lab,Biological Technician,Job,4/12/2022,Yes,Yes,Applied,Interview,References checked,Offered position,Negotiated,Turned down,,,
The Nature Conservancy,Conservation Technology Associate - Dangermond Preserve,Job,4/12/2022,Yes,Yes,Applied,Rejected,,,,,,,
National Park Service,GIS Specialist,Job,5/2/2022,Yes,Yes,Applied,Referred to hiring manager,Ghosted,,,,,,
CA Sea Grant,Staff Research Associate,Job,5/4/2022,Yes,Yes,Applied,Rejected,,,,,,,
Sustainable Conservation,Data and Science Communication Specialist,Job,5/16/2022,Yes,Yes,Applied,Interview,Rejected,,,,,,
emLab/CI,Climate Resilient MPA Fellow,Fellowship,5/19/2022,Yes,Yes,Applied,Interview,Rejected,,,,,,
Conservation International,Spatial Analyst,Job,5/25/2022,Yes,No,Applied,Ghosted,,,,,,,Heard through classmates the position has already been filled when I applied.
Collective Energy Company,Environmental Innovation Internship Fellowship,Fellowship,5/30/2022,Yes,Yes,Applied,Offered position,Accepted,,,,,,Did informational interview before application. No formal interview.
"Blue Tomorrow, LLC",Environmental Scientist,Job,6/14/2022,No,Yes,Applied,Interview,Second Interview,Offered position,Negotiated,Accepted,Quit,,"Found & sent resume via LinkedIn, also sent resume & cover letter via email"
Environmental Resources Management,Environmental Scientist,Job,6/14/2022,Yes,No,Applied,Rejected,,,,,,,"Found via LinkedIn, applied on company website"
Conservation International,"Regional Officer, Blue Nature Alliance",Job,6/27/2022,Yes,No,Applied,Ghosted,,,,,,,
Geosyntec Consultants,GIS and Environmental Data Management Professional,Job,6/30/2022,Yes,Yes,Applied,Rejected,,,,,,,
County of Santa Barbara,Engineering Environmental Planner,Job,10/16/2022,Yes,Yes,Applied,Placed on eligible list,Rejected,,,,,,
UCSB,"Assistant Director, Visitor Center",Job,11/2/2022,Yes,Yes,Applied,Rejected,,,,,,,
Catalyst Environmental Solutions,Environmental Scientist,Job,11/2/2022,Yes,No,Applied,Applied on LinkedIn,Application viewed,Ghosted,,,,,
Insight Global,Environmental Data Analyst,Job,11/2/2022,Yes,No,Applied,Applied on LinkedIn,Ghosted,,,,,,
The Nature Conservancy,Spatial Data Analyst,Job,11/8/2022,Yes,Yes,Applied,Rejected,,,,,,,
City of Goleta Parks and Open Space Division,Environmental Analyst,Job,11/8/2022,No,No,Applied,Ghosted,,,,,,,"Found on BrenConnect via Aaron Kreisberg, emailed application materials"
Environmental Defense Center,Office Manager & Events Coordinator,Job,11/14/2022,Yes,No,Applied,Ghosted,,,,,,,
Langan,GIS Analyst,Job,11/14/2022,Yes,No,Applied,Ghosted,,,,,,,
Tetra Tech,Environmental Planner,Job,11/15/2022,Yes,No,Applied,Ghosted,,,,,,,
County of Santa Barbara,Public Works Program Specialist,Job,11/9/2022,Yes,Yes,Applied,Networked,Word of mouth interest voiced,Previous candidate interested,Rejected,,,,
California Native Plant Society,Associate Vegetation Ecologist/Data Analyst,Job,11/17/2022,Yes,Yes,Applied,Rejected,,,,,,,
ZWorld GIS,Geospatial Analyst,Job,11/18/2022,Yes,No,Applied,Applied on LinkedIn,Application viewed,Ghosted,,,,,
Outdoor Alliance,Forest Planning Project Coordinator,Job,11/18/2022,Yes,Yes,Applied,Reviewing application materials,Rejected,,,,,,
Santa Barbara Foundation,Policy Analyst,Job,12/1/2022,Yes,No,Applied,Networked,Rejected,,,,,,
UCSB,"Administrative Coordinator, Dept of Geography",Job,12/6/2022,Yes,Yes,Applied,Interview,Second Interview,References checked,Job cancelled,,,,
Apex Systems,GIS Analyst,Job,12/6/2022,Yes,No,Applied,Ghosted,,,,,,,
Atwell LLC,Environmental Consultant,Job,12/8/2022,Yes,No,Applied,Ghosted,,,,,,,
Alaka`ina Foundation - Ke`aki Technologies,GIS Developer,Job,12/9/2022,Yes,Yes,Applied,Email to setup phone call,Ghosted,,,,,,
County of Santa Barbara,Energy Program Specialist,Job,12/29/2022,Yes,Yes,Applied,Placed on eligible list,First Interview,Declined,,,,,
emLab,Associate Specialist - Human Dimensions of Climate Change Data Scientist,Job,1/2/2023,Yes,No,Applied,Ghosted,,,,,,,
Environmental Resources Management,Remote Desktop Analyst,Job,1/4/2023,Yes,Yes,Applied,Job cancelled,,,,,,,
BrightAction,Data Researcher & Analyst,Job,1/10/2023,No,Yes,Applied,Interview,Ghosted,,,,,,
National Park Service,GIS Specialist,Job,1/12/2023,Yes,Yes,Applied,Rejected,,,,,,,
NCEAS,Environmental Data Analyst,Job,1/12/2023,Yes,No,Applied,Rejected,,,,,,,
Community Environmental Council,Climate Associate,Job,2/7/2023,Yes,Yes,Applied,Phone screening,Second Interview,,Panel Interview,Final Interview,Offered position,Turned down,
E Source,Data Analyst,Job,2/7/2023,Yes,Yes,Applied,Phone screening,Second Interview,Skills Test,Panel Interview,Offered position,Accepted,Currently working,
